question,code
Are you 18 years of age or older?,LADULT1
Are you male or female?,COLGSEX
Are you male or female?,LANDSEX
Would you say that in general your health is:,GENHLTH
"Now thinking about your physical health, which includes physical illness and injury, for how many days during the past 30 days was your physical health not good?",PHYSHLTH
"Now thinking about your mental health, which includes stress, depression, and problems with emotions, for how many days during the past 30 days was your mental health not good?",MENTHLTH
"During the past 30 days, for about how many days did poor physical or mental health keep you from doing your usual activities, such as self-care, work, or recreation?",POORHLTH
Do you have one person (or a group of doctors) that you think of as your personal health care provider?,PERSDOC3
Was there a time in the past 12 months when you needed to see a doctor but could not because you could not afford it?,MEDCOST1
"About how long has it been since you last visited a doctor for a routine checkup? [A routine checkup is a general physical exam, not an exam for a specific injury, illness, or condition.]",CHECKUP1
"During the past month, other than your regular job, did you participate in any physical activities or exercises such as running, calisthenics, golf, gardening, or walking for exercise?",EXERANY2
"Have you ever been told by a doctor, nurse or other health professional that you have high blood pressure? (If ´Yes´ and respondent is female, ask ´Was this only when you were pregnant?´.)",BPHIGH6
Are you currently taking medicine for your high blood pressure?,BPMEDS
About how long has it been since you last had your cholesterol checked?,CHOLCHK3
"Have you ever been told by a doctor, nurse or other health professional that your cholesterol is high?",TOLDHI3
Are you currently taking medicine prescribed by your doctor or other health professional for your cholesterol?,CHOLMED3
"Has a doctor, nurse or other health professional ever told you that you had some form of arthritis, rheumatoid arthritis, gout, lupus, or fibromyalgia? (Arthritis diagnoses include: rheumatism, polymyalgia rheumatic, osteoarthritis (not osteoporosis), tendonitis, bursitis, bunion, tennis elbow, carpal tunnel syndrome, tarsal tunnel syndrome, joint infection, Reiter’s syndrome, ankylosing spondylitis;)",HAVARTH5
Are you: (marital status),MARITAL
What is the highest grade or year of school you completed?,EDUCA
Do you own or rent your home?,RENTHOM1
How many cell phones do you have for personal use?,CPDEMO1B
"Have you ever served on active duty in the United States Armed Forces, either in the regular military or in a National Guard or military reserve unit?",VETERAN3
Are you currently…?,EMPLOY1
How many children less than 18 years of age live in your household?,CHILDREN
"Is your annual household income from all sources: (If respondent refuses at any income level, code ´Refused.´)",INCOME3
"To your knowledge, are you now pregnant?",PREGNANT
About how much do you weigh without shoes?,WEIGHT2
About how tall are you without shoes?,HEIGHT3
Are you deaf or do you have serious difficulty hearing?,DEAF
"Are you blind or do you have serious difficulty seeing, even when wearing glasses?",BLIND
"Because of a physical, mental, or emotional condition, do you have serious difficulty concentrating, remembering, or making decisions?",DECIDE
Do you have serious difficulty walking or climbing stairs?,DIFFWALK
ave you smoked at least 100 cigarettes in your entire life? [Note: 5 packs = 100 cigarettes],SMOKE100
"Do you now smoke cigarettes every day, some days, or not at all?",SMOKDAY2
"Do you now use e-cigarettes or other electronic vaping products every day, some days, or not at all?",ECIGNOW1
"During the past 30 days, how many days per week or per month did you have at least one drink of any alcoholic beverage such as beer, wine, a malt beverage or liquor",ALCDAY5
"One drink is equivalent to a 12-ounce beer, a 5-ounce glass of wine, or a drink with one shot of liquor. During the past 30 days, on the days when you drank, about how many drinks did you drink on the average? (A 40 ounce beer would count as 3 drinks, or a cocktail drink with 2 shots would count as 2 drinks.)",AVEDRNK3
"Considering all types of alcoholic beverages, how many times during the past 30 days did you have 5 or more drinks for men or 4 or more drinks for women on an occasion?",DRNK3GE5
During what month and year did you receive your most recent flu vaccine that was sprayed in your nose or flu shot injected into your arm?,FLSHTMY3
"Not including juices, how often did you eat fruit?",FRUIT2
"How often did you eat a green leafy or lettuce salad, with or without other vegetables?",FVGREEN1
"In the past 30 days, did you provide care for this person by managing personal care such as giving medications, feeding, dressing, or bathing?",CRGVPER1
Were your parents separated or divorced?,ACEDIVRC
"During the past 30 days, on how many days did you use marijuana or cannabis?",MARIJAN1
"When you used marijuana or cannabis during the past 30 days, was it usually:",RSNMRJN2
"How long has it been since you last smoked a cigarette, even one or two puffs?",LASTSMK2
What was your sex at birth? Was it male or female?,BIRTHSEX
Which of the following best represents how you think of yourself?,SOMALE
Questionnaire Version Identifier,QSTVER
Language identifier,QSTLANG
Imputed race/ethnicity value,_IMPRACE
Computed asthma status,_ASTHMS1
Preferred race category, _PRACE1
Income categ,_INCOMG1
